user,message,date
Artur,usedAppsTracker – main.py,2024-05-30T12:49:49.094898
Artur,usedAppsTracker – main.py,2024-05-30T12:49:50.265800
Artur,usedAppsTracker – main.py,2024-05-30T12:49:51.420999
Artur,usedAppsTracker – main.py,2024-05-30T12:49:52.562534
Artur,usedAppsTracker – main.py,2024-05-30T12:49:53.720306
Artur,usedAppsTracker – main.py,2024-05-30T12:49:54.875299
Artur,Spotify Premium,2024-05-30T12:49:56.006319
Artur,Spotify Premium,2024-05-30T12:49:57.162769
Artur,Spotify Premium,2024-05-30T12:49:58.298239
Artur,Spotify Premium,2024-05-30T12:49:59.446917
Artur,Spotify Premium,2024-05-30T12:50:00.599038
Artur,Spotify Premium,2024-05-30T12:50:01.736997
Artur,Okno przepełnienia zasobnika systemowego.,2024-05-30T12:50:02.866514
Artur,Okno przepełnienia zasobnika systemowego.,2024-05-30T12:50:04.016241
Artur,#zoe | Ul - Discord,2024-05-30T12:50:05.143782
Artur,#zoe | Ul - Discord,2024-05-30T12:50:06.284842
Artur,#zoe | Ul - Discord,2024-05-30T12:50:07.409965
Artur,#zoe | Ul - Discord,2024-05-30T12:50:08.549238
Artur,#zoe | Ul - Discord,2024-05-30T12:50:09.672936
Artur,#zoe | Ul - Discord,2024-05-30T12:50:10.808334
Artur,#pszczoly | Ul - Discord,2024-05-30T12:50:11.940824
Artur,#pszczoly | Ul - Discord,2024-05-30T12:50:13.073401
Artur,#pszczoly | Ul - Discord,2024-05-30T12:50:14.200798
Artur,#pszczoly | Ul - Discord,2024-05-30T12:50:15.327251
Artur,,2024-05-30T12:50:16.456180
Artur,Ładowanie… – Opera,2024-05-30T12:50:17.642128
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:18.772312
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:19.902062
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:21.043604
Artur,,2024-05-30T12:50:22.175943
Artur,usedAppsTracker – main.py,2024-05-30T12:50:23.304242
Artur,usedAppsTracker – main.py,2024-05-30T12:50:24.437789
Artur,usedAppsTracker – main.py,2024-05-30T12:50:25.560179
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:26.686136
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:27.813797
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:28.947263
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:30.083314
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:31.224496
Artur,Szybkie wybieranie – Opera,2024-05-30T12:50:32.355609
Artur,usedAppsTracker – main.py,2024-05-30T12:50:33.486879
Artur,usedAppsTracker – main.py,2024-05-30T12:50:34.607158
Artur,usedAppsTracker – main.py,2024-05-30T12:50:35.739946
Artur,usedAppsTracker – main.py,2024-05-30T12:50:36.878583
Artur,usedAppsTracker – main.py,2024-05-30T12:50:38.020291
Artur,usedAppsTracker – main.py,2024-05-30T12:50:39.159178
Artur,usedAppsTracker – main.py,2024-05-30T12:50:40.299412
Artur,usedAppsTracker – main.py,2024-05-30T12:50:41.431822
Artur,usedAppsTracker – main.py,2024-05-30T12:50:42.569936
Artur,usedAppsTracker – main.py,2024-05-30T12:50:43.707750
Artur,usedAppsTracker – main.py,2024-05-30T12:50:44.840823
Artur,usedAppsTracker – main.py,2024-05-30T12:50:45.980235
Artur,,2024-05-30T12:50:47.114830
Artur,Spotify Premium,2024-05-30T12:50:48.250013
Artur,Spotify Premium,2024-05-30T12:50:49.366334
Artur,Spotify Premium,2024-05-30T12:50:50.491948
Artur,Spotify Premium,2024-05-30T12:50:51.620819
Artur,Spotify Premium,2024-05-30T12:50:52.770877
Artur,Spotify Premium,2024-05-30T12:50:53.908321
Artur,Spotify Premium,2024-05-30T12:50:55.049586
Artur,Spotify Premium,2024-05-30T12:50:56.187028
Artur,Spotify Premium,2024-05-30T12:50:57.305160
Artur,Spotify Premium,2024-05-30T12:50:58.435850
Artur,Spotify Premium,2024-05-30T12:50:59.568397
Artur,Spotify Premium,2024-05-30T12:51:00.691042
Artur,Spotify Premium,2024-05-30T12:51:01.818533
Artur,Spotify Premium,2024-05-30T12:51:02.955160
Artur,Spotify Premium,2024-05-30T12:51:04.077051
Artur,Spotify Premium,2024-05-30T12:51:05.212321
Artur,Spotify Premium,2024-05-30T12:51:06.345733
Artur,Spotify Premium,2024-05-30T12:51:07.486309
Artur,Spotify Premium,2024-05-30T12:51:08.602769
Artur,Spotify Premium,2024-05-30T12:51:09.737502
Artur,Spotify Premium,2024-05-30T12:51:10.874506
Artur,Spotify Premium,2024-05-30T12:51:12.014775
Artur,Spotify Premium,2024-05-30T12:51:13.135201
Artur,Spotify Premium,2024-05-30T12:51:14.269304
Artur,Spotify Premium,2024-05-30T12:51:15.404491
Artur,Spotify Premium,2024-05-30T12:51:16.530076
Artur,Spotify Premium,2024-05-30T12:51:17.661725
Artur,Spotify Premium,2024-05-30T12:51:18.798049
Artur,Spotify Premium,2024-05-30T12:51:19.939822
Artur,Spotify Premium,2024-05-30T12:51:21.074133
Artur,Spotify Premium,2024-05-30T12:51:22.196014
Artur,Spotify Premium,2024-05-30T12:51:23.318114
Artur,Spotify Premium,2024-05-30T12:51:24.453499
Artur,Spotify Premium,2024-05-30T12:51:25.589366
Artur,usedAppsTracker – main.py,2024-05-30T12:51:26.721529
Artur,usedAppsTracker – main.py,2024-05-30T12:51:27.858185
Artur,usedAppsTracker – main.py,2024-05-30T12:51:29.010274
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:30.141204
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:31.268510
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:32.396901
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:33.517722
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:34.642683
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:35.768588
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:36.891455
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:38.023894
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:39.147757
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:40.286161
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:41.413227
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:42.536142
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:43.673053
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:44.793739
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:45.918760
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:47.036858
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:48.167981
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:49.297807
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:50.417859
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:51.556314
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:52.685633
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:53.841467
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:54.968498
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:56.106303
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:57.241568
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:58.375563
Artur,Szybkie wybieranie – Opera,2024-05-30T12:51:59.516278
Artur,usedAppsTracker – main.py,2024-05-30T12:52:00.636857
Artur,usedAppsTracker – main.py,2024-05-30T12:52:01.776098
Artur,usedAppsTracker – main.py,2024-05-30T12:52:02.926895
Artur,usedAppsTracker – main.py,2024-05-30T12:52:04.062060
Artur,usedAppsTracker – main.py,2024-05-30T12:52:05.198654
Artur,usedAppsTracker – main.py,2024-05-30T12:52:06.353029
Artur,usedAppsTracker – main.py,2024-05-30T12:52:07.500579
Artur,usedAppsTracker – main.py,2024-05-30T12:52:08.619491
Artur,usedAppsTracker – main.py,2024-05-30T12:52:09.754847
Artur,usedAppsTracker – main.py,2024-05-30T12:52:10.890948
Artur,usedAppsTracker – main.py,2024-05-30T12:52:12.026877
Artur,usedAppsTracker – main.py,2024-05-30T12:52:13.160947
Artur,usedAppsTracker – main.py,2024-05-30T12:52:14.299212
Artur,usedAppsTracker – main.py,2024-05-30T12:52:15.426186
Artur,usedAppsTracker – main.py,2024-05-30T12:52:16.548851
Artur,usedAppsTracker – main.py,2024-05-30T12:52:17.688537
Artur,usedAppsTracker – main.py,2024-05-30T12:52:18.810787
Artur,usedAppsTracker – main.py,2024-05-30T12:52:19.951576
Artur,usedAppsTracker – main.py,2024-05-30T12:52:21.081369
Artur,usedAppsTracker – main.py,2024-05-30T12:52:22.213417
Artur,usedAppsTracker – main.py,2024-05-30T12:52:23.345329
Artur,usedAppsTracker – main.py,2024-05-30T12:52:24.479643
Artur,usedAppsTracker – main.py,2024-05-30T12:52:25.619883
Artur,usedAppsTracker – main.py,2024-05-30T12:52:26.773789
Artur,usedAppsTracker – main.py,2024-05-30T12:52:27.889390
Artur,usedAppsTracker – main.py,2024-05-30T12:52:29.022205
Artur,usedAppsTracker – main.py,2024-05-30T12:52:30.166106
Artur,usedAppsTracker – main.py,2024-05-30T12:52:31.290763
Artur,usedAppsTracker – main.py,2024-05-30T12:52:32.412366
Artur,usedAppsTracker – main.py,2024-05-30T12:52:33.552087
Artur,usedAppsTracker – main.py,2024-05-30T12:52:34.674657
Artur,usedAppsTracker – main.py,2024-05-30T12:52:35.812186
Artur,usedAppsTracker – main.py,2024-05-30T12:52:36.938501
Artur,usedAppsTracker – main.py,2024-05-30T12:52:38.063686
Artur,usedAppsTracker – main.py,2024-05-30T12:52:39.199105
Artur,usedAppsTracker – main.py,2024-05-30T12:52:40.338928
Artur,usedAppsTracker – main.py,2024-05-30T12:52:41.472147
Artur,usedAppsTracker – main.py,2024-05-30T12:52:42.593977
Artur,usedAppsTracker – main.py,2024-05-30T12:52:43.736097
Artur,usedAppsTracker – main.py,2024-05-30T12:52:44.856049
Artur,usedAppsTracker – main.py,2024-05-30T12:52:45.990924
Artur,usedAppsTracker – main.py,2024-05-30T12:52:47.115333
Artur,usedAppsTracker – main.py,2024-05-30T12:52:48.237224
Artur,usedAppsTracker – main.py,2024-05-30T12:52:49.355239
Artur,usedAppsTracker – main.py,2024-05-30T12:52:50.472251
Artur,usedAppsTracker – main.py,2024-05-30T12:52:51.611826
Artur,usedAppsTracker – main.py,2024-05-30T12:52:52.736206
Artur,usedAppsTracker – main.py,2024-05-30T12:52:53.871242
Artur,usedAppsTracker – main.py,2024-05-30T12:52:54.991300
Artur,usedAppsTracker – main.py,2024-05-30T12:52:56.113233
Artur,usedAppsTracker – main.py,2024-05-30T12:52:57.247073
Artur,usedAppsTracker – main.py,2024-05-30T12:52:58.372219
Stefan,usedAppsTracker – main.py,2024-05-30T12:53:05.976821
Stefan,usedAppsTracker – main.py,2024-05-30T12:53:07.130486
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:08.254909
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:09.383504
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:10.503776
Stefan,Asystent przyciągania,2024-05-30T12:53:11.627194
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:12.749325
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:13.874253
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:15.004614
Stefan,usedAppsTracker – main.py,2024-05-30T12:53:16.123640
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:17.254425
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:18.373732
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:19.493057
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:20.621684
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:21.745988
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:22.861954
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:24.001824
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:25.131180
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:26.254782
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:27.373892
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:28.495785
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:29.637443
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:30.757464
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:31.883359
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:33.009052
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:34.148816
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:35.280857
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:36.403817
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:37.530869
Stefan,#pszczoly | Ul - Discord,2024-05-30T12:53:38.655528
Stefan,,2024-05-30T12:53:39.780204
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:40.908813
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:42.051063
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:43.177501
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:44.304015
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:45.435548
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:46.561993
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:47.695317
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:48.815719
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:49.946185
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:51.073859
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:52.202241
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:53.341925
Stefan,Szybkie wybieranie – Opera,2024-05-30T12:53:54.471602
Stefan,Spotify Premium,2024-05-30T12:53:55.596882
Stefan,Spotify Premium,2024-05-30T12:53:56.724847
Stefan,Spotify Premium,2024-05-30T12:53:57.848531
Stefan,Spotify Premium,2024-05-30T12:53:58.989409
Stefan,Spotify Premium,2024-05-30T12:54:00.121340
Stefan,Spotify Premium,2024-05-30T12:54:01.247985
Stefan,usedAppsTracker – main.py,2024-05-30T13:18:12.764077
Stefan,usedAppsTracker – main.py,2024-05-30T13:18:13.914853
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:15.041847
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:16.164869
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:17.284494
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:18.405205
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:19.529025
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:20.662283
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:21.798862
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:22.928078
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:24.080669
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:25.202085
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:26.356066
Stefan,League of Legends.txt — Notatnik,2024-05-30T13:18:27.476473
Stefan,usedAppsTracker – main.py,2024-05-30T13:18:28.605963
Stefan,usedAppsTracker – main.py,2024-05-30T13:18:29.730880
Stefan,usedAppsTracker – main.py,2024-05-30T13:18:30.869126
Stefan,usedAppsTracker – main.py,2024-05-30T13:18:32.008413
Artur,usedAppsTracker – main.py,2024-05-30T13:18:37.665736
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:38.799006
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:39.935947
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:41.065717
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:42.219427
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:43.340467
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:44.483514
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:45.607903
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:46.745585
Artur,League of Legends.txt — Notatnik,2024-05-30T13:18:47.885752
Domianik,usedAppsTracker – main.py,2024-05-30T13:18:56.179830
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:18:57.305264
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:18:58.426698
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:18:59.562059
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:00.683940
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:01.815430
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:02.936225
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:04.070992
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:05.200812
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:06.317788
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:07.455248
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:08.577992
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:09.714498
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:10.865508
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:12.001325
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:13.144349
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:14.276076
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:15.394145
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:16.531418
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:17.663718
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:18.799398
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:19.937795
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:21.086154
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:22.220710
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:23.358182
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:24.493354
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:25.619777
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:26.739256
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:27.855881
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:28.991954
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:30.128595
Domianik,League of Legends.txt — Notatnik,2024-05-30T13:19:31.248984
